,date,username,tweet,hashtags
50,2022-12-29 21:08:25,raniarianiii,Dukung KUHP jadi dasar hukum modern milik Indonesia #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP  https://t.co/fDS6PwMSuz,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp']"
51,2022-12-29 20:26:19,baliandra2,REVISI UU KPK DAN KUHP BARU MERINGANKAN HUKUMAN KORUPTOR!  Koruptor serasa dapat angin surga.  Syahganda: Korupsi di Era Jokowi Tumbuh Subur  https://t.co/zSf3iyAdEZ  #AniesHarapanRakyatTertindas  #AniesHarapanRakyatTertindas,"['aniesharapanrakyattertindas', 'aniesharapanrakyattertindas']"
52,2022-12-29 19:32:37,aneurysm_r,"@proudbear19 @tuatha_ @rifkurniawan24 @alonalonwaton @ndagels ya jelas ditolak la orng lo tinggal di indonesia kok wkwkwk, udah ada dasar konstitusinya bro, smua tentang lgbt udah di bahas dluan antara tahun 80-90 sama panitia revisi KUHP, kalo lo keberatan protes aja ke mereka.",[]
53,2022-12-29 19:13:20,hartonomurta,Rancangan KUHP Berupaya untuk Adil  #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP  https://t.co/UhM6lJMcS4,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp']"
54,2022-12-29 18:38:20,Syarman59,@KompasTV Jarak dan waktu dari Magelang ke Jakarta sudah cukup membuktikan unsur 'berencana' psl 340 KUHP. Cukup waktu berfikir untuk tidak melakukan pembunuhan tsb.,[]
55,2022-12-29 18:12:51,akuinimamangmu,"@FWBESS tuntut istrinya dengan 310 KUHP, pencemaran nama baik atas tuduhan tanpa bukti.",[]
56,2022-12-29 18:08:15,raniarianiii,KUHP baru beri kepastian hukum dan keadilan bagi masyarakat #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP  https://t.co/Z6zYmU855I,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp']"
57,2022-12-29 17:50:51,failulzz,"apalagi kalo apa yg kamu sempet ungkapin mau nyakitin aku, kak aku paling kalo memar memar ilang 2 minggu. lah kamu? pasal 354 kuhp kak, kuliah udah susah trs berakhir di meja hijau kan takuds :(",[]
58,2022-12-29 17:11:30,kokojoseph_i,"Bicara apa adanya sesuai hukum yang ada , perbuatan pesen pelacur itu tercela jangan di lakukan #pengacarakokojosephirianto #fyp #fypシ #hukum #hukumindonesia #viral #kuhpbaru #kuhp #undangundang #advokat #pengacara #rkuhp  https://t.co/1cNUBUkNUu","['pengacarakokojosephirianto', 'fyp', 'fypシ', 'hukum', 'hukumindonesia', 'viral', 'kuhpbaru', 'kuhp', 'undangundang', 'advokat', 'pengacara', 'rkuhp']"
59,2022-12-29 16:34:10,MarettaLady,"UU KUHP dan UU TPKS yang belum usai selama 10 tahun, berhasil di sah kan di era Jokowi.  Israel LE SSERAFIM Sore Darwin Nunez Mnet Indonesia HAPPY BIRTHDAY MY LOVE Ya Allah Tahun 2023 PSSI Kehilangan Inisial R #BOYSPLANET  #HappyBirthdayV #MINGYU  https://t.co/KqEu1kRwM8","['boysplanet', 'happybirthdayv', 'mingyu']"
60,2022-12-29 16:28:13,raniarianiii,Demokrasi terlindungi dengan KUHP kita bahagia #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP  https://t.co/dAfMJZOzPX,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp']"
61,2022-12-29 16:16:59,fadhilahasyifad,Cara ngantem perusak rumah tangga orang selain pasal 284 KUHP apa lagi ya? Info dong. Bantu ngantem pelakor:),[]
62,2022-12-29 15:48:25,HendrikaKikhmah,"UU KUHP dan UU TPKS yang belum usai selama 10 tahun, berhasil di sah kan di era Jokowi.  LE SSERAFIM | Minho | Min Yoongi | Bangkok | Mnet | Indonesia | Tahun 2023 | HAPPY BIRTHDAY MY LOVE | PSSI | #BOYSPLANET | #SEVENTEEN | #VeautifulPrinceTaehyung  https://t.co/u1M4BNcPDm","['boysplanet', 'seventeen', 'veautifulprincetaehyung']"
63,2022-12-29 15:47:43,Salimah25485819,"Hukum terhadap homoseksualitas  Sejauh ini, hukum nasional Indonesia tidak mengkriminalisasikan homoseksualitas, meskipun begitu KUHP yang baru melarang seks diluar nikah dan kumpul kebo baik pasangan heteroseksual maupun homoseksual.  @ruhutsitompul  @Dennysiregar7  https://t.co/UcQO0N1pYe",[]
64,2022-12-29 15:44:56,HaloOla05540349,"Cintaku padamu seperti pasal 184 ayat (2) KUHP yang berbunyi :  "" Hal secara Umum sudah diketahui Dan tidak perlu dibuktikan.""",[]
65,2022-12-29 15:13:12,raniarianiii,UU KUHP wujud manifestasi reformasi hukum Kita dukung #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP  https://t.co/rumUgsU8hA,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp']"
66,2022-12-29 15:00:28,ElaaTante,KUHP yang telah disahkan merupakan produk hukum yang dikonsep dan digagas oleh profesor - profesor hukum Indonesia.  https://t.co/S9iak2BQjA,[]
67,2022-12-29 15:00:19,nurlinda1190,KUHP yang telah disahkan merupakan produk hukum yang dikonsep dan digagas oleh profesor - profesor hukum Indonesia.  https://t.co/77IsxnAkso,[]
68,2022-12-29 15:00:08,jamaluddinyusr1,KUHP yang telah disahkan merupakan produk hukum yang dikonsep dan digagas oleh profesor - profesor hukum Indonesia.  https://t.co/ep4iFsfmIs,[]
69,2022-12-29 14:59:42,yusufmanakarra,KUHP yang telah disahkan merupakan produk hukum yang dikonsep dan digagas oleh profesor - profesor hukum Indonesia.  https://t.co/OKfXPxJ3iK,[]
