,date,username,tweet,hashtags
40,2022-12-30 06:30:52,khorimkarim,Pemerintah upayakan implementasi pasal di KUHP baru tidak jadi sarana penindasan #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP #KUHPReformasiHukum  https://t.co/bqFtVfhnYS,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp', 'kuhpreformasihukum']"
41,2022-12-30 06:30:52,khorimkarim,AYo dukung KUHP untuk simbol peradaban suatu bangsa yang merdeka dan berdaulat! #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP #KUHPReformasiHukum  https://t.co/tvqiZnFzL0,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp', 'kuhpreformasihukum']"
42,2022-12-30 06:30:51,khorimkarim,Perubahan RUU KUHP menjadi UU KUHP untuk kemajuan Indonesia! #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP #KUHPReformasiHukum  https://t.co/TH1KNCLBo4,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp', 'kuhpreformasihukum']"
43,2022-12-30 06:30:51,khorimkarim,Revisi KUHP tidak membatasi kritik dan membuat presiden anti kiritik #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP #KUHPReformasiHukum  https://t.co/Z5jUxnnp3X,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp', 'kuhpreformasihukum']"
44,2022-12-30 06:30:51,khorimkarim,Ayo kita dukung RKUHP jadi KUHP sebagai dasar hukum! #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP #KUHPReformasiHukum  https://t.co/fuE6lANJzX,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp', 'kuhpreformasihukum']"
45,2022-12-30 06:30:51,khorimkarim,Rakyat Indonesia harus bangga dengan adanya KUHP buatan anak bangsa! #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP #KUHPReformasiHukum  https://t.co/IvGyWOZoFJ,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp', 'kuhpreformasihukum']"
46,2022-12-30 06:30:50,khorimkarim,Kemajuan bangsa RUU KUHP menjadi UU KUHP #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP #KUHPReformasiHukum  https://t.co/7r034976ES,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp', 'kuhpreformasihukum']"
47,2022-12-30 06:30:50,khorimkarim,UU KUHP tidak membatasi ruang gerak masyarakat Indonesia #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP #KUHPReformasiHukum  https://t.co/RI76gJy72G,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp', 'kuhpreformasihukum']"
48,2022-12-30 06:30:50,khorimkarim,Pahami isu krusial UU KUHP terkait penghinaan presiden! #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP #KUHPReformasiHukum  https://t.co/EyfFL99vqX,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp', 'kuhpreformasihukum']"
49,2022-12-30 06:30:49,khorimkarim,Dukung KUHP untuk kesempurnaan regulasi hukum! #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP #KUHPReformasiHukum  https://t.co/hHLqIIcyyN,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp', 'kuhpreformasihukum']"
